ID,asvabMath_std
2,.30113181
5,
7,-2.3823522
9,
10,
12,
13,.78743181
14,
16,.33224246
18,-1.6617794
19,
20,-1.0841505
21,-1.2080508
22,-.4096138
24,-.69924698
26,-.78660014
27,-.48442928
30,.19786372
31,1.4948918
35,-.49059388
39,-1.4591664
42,1.053866
44,-.32439728
46,
51,.45076277
52,-.10516033
57,
58,-1.3316543
60,-2.0147429
62,.52389884
64,.26372428
65,-.57739008
66,
67,
68,
70,.41335482
71,
73,
74,
75,
76,.30113181
79,-.83114832
80,-.83114832
82,.45076277
83,-.61391744
85,.19786372
87,1.1897688
88,-1.3316543
89,1.0118778
90,
92,
93,-1.4591664
95,-.49059388
96,
97,1.053866
98,.33224246
99,
105,1.1615084
106,-.32439728
108,.52389884
113,1.3647679
116,
117,
118,
119,-.88803811
120,
121,.78743181
122,.7053207
123,
124,
126,.4881703
131,1.3647679
132,1.4587929
133,1.6852159
134,
135,1.4233619
138,.33224246
140,.60158471
143,1.4233619
144,.39470692
145,.00187072
146,-.9627333
150,-.57739008
152,-.48442928
154,1.7226234
155,1.820733
156,1.023466
158,1.023466
161,-1.5707905
163,
165,.7053207
167,
168,-.37579629
172,1.820733
174,
176,1.6446131
180,1.7756929
184,1.1241009
185,-.61391744
187,1.335769
190,.86224687
191,1.0118778
195,.26372428
196,
199,.46339249
200,
202,.33224246
206,
209,
210,
212,.59139815
215,
218,
219,.10879433
220,1.0909649
222,.52389884
223,1.1897688
225,-.28455516
228,-.37579629
230,.33853976
231,
232,.16903611
233,
237,.37594729
239,
242,.39470692
244,
246,1.1615084
247,1.6042555
249,.90424231
250,-.49059388
251,.22992218
254,.56298622
256,
257,
258,.22992218
259,.72446819
260,-.07294476
261,-.33479832
262,-1.2080508
263,-.57739008
264,.13775636
265,-.57739008
268,-.33479832
275,
277,
278,.39470692
279,
280,
281,.81735792
282,-1.2598411
283,1.053866
285,-.2225753
287,-.14776025
294,.16903611
297,-.75709699
299,.03927825
304,.46339249
308,-.69924698
311,1.023466
314,1.8722544
316,.4881703
318,-.54117737
321,-.25471253
323,1.2338229
324,
325,-.12232273
328,1.1615084
329,.39470692
330,-.49059388
332,1.4948918
336,.97446945
337,1.6446131
340,-.00602809
341,1.3050462
342,
343,
344,
345,
346,.37594729
347,
348,
349,
350,
357,
358,
360,
361,
367,.26372428
369,-2.3823522
370,
372,.30113181
375,1.6042555
376,
378,
380,-.4096138
381,
384,
385,-1.8444385
386,.56298622
391,
392,1.6446131
393,-.48442928
394,.7053207
395,
396,.46339249
397,
398,
399,1.023466
401,1.1615084
404,-.48442928
405,1.4587929
408,.19786372
410,-.88803811
412,-.83114832
413,
418,
419,1.6042555
420,
421,
422,
427,-1.0841505
429,-1.0041868
430,
432,-.43324988
434,-.4096138
438,-.83114832
440,-.07294476
441,-1.8444385
443,
445,
446,
451,
454,.63780042
455,
456,.60158471
457,
458,
463,
466,-1.5707905
471,-1.0041868
475,-1.2080508
476,
481,
482,-.69924698
483,1.6042555
485,
487,-2.1925354
490,1.6852159
491,-.43324988
493,
495,
496,
500,-.00602809
501,-.54117737
502,.52389884
503,.13775636
505,.60158471
506,.63780042
508,-1.2598411
510,
511,-.28455516
513,
516,-.78660014
517,
520,
521,
522,-.83114832
524,.41335482
525,
526,
527,1.4948918
536,-.69924698
537,-1.6617794
539,
543,1.1241009
544,1.7756929
545,-.75709699
546,1.820733
547,1.6852159
549,
550,1.7226234
551,1.2338229
552,.78743181
553,-.49059388
554,-.17209199
555,1.335769
558,
561,.13775636
563,-1.4024812
564,1.4233619
565,1.3647679
567,.46339249
568,.00187072
569,-.25471253
571,-2.0147429
572,.78743181
575,
576,-.61391744
577,.72446819
578,.33853976
580,-.28455516
581,.82483934
586,.00187072
588,-2.3823522
589,-1.4024812
590,1.8722544
598,-.4096138
600,-.83114832
603,-.69924698
606,.86224687
608,.10879433
611,1.0909649
612,1.4587929
613,1.1615084
616,1.6852159
618,.7053207
619,-.9627333
620,
621,
623,
625,
627,1.3859544
628,1.1241009
630,1.4233619
631,1.4587929
636,
638,1.7756929
640,-.0410661
642,1.0909649
643,1.1615084
644,
645,
646,
647,-.43324988
648,-.49059388
649,1.0118778
653,.93885137
656,
657,
659,.46339249
661,-.54117737
662,-1.8444385
663,
664,-.65300653
665,
669,.81735792
670,
671,
673,.67197838
678,
680,.7053207
683,-.48442928
685,-1.3316543
687,-.49059388
688,-.28455516
690,
691,
692,
694,.5537907
695,
696,
697,
699,
701,-1.6617794
702,
706,-.17209199
711,.72446819
712,-1.0841505
714,
716,.00187072
717,-1.6617794
718,
719,1.0909649
720,.37594729
722,1.4587929
723,.22992218
724,1.6446131
726,1.7756929
729,.82483934
731,1.820733
