ID,asvabMathNotNO_std
2,.24183904
5,
7,-1.8895781
9,
10,
12,
13,1.1865527
14,
16,.3511129
18,-.85181419
19,-1.3575005
20,-.69557801
21,-1.1788685
22,-.94573247
24,-1.5452461
26,-.85181419
27,-1.0438545
30,.29391777
31,1.4738582
35,-.01855458
39,-1.4293992
42,.61334854
44,.03352414
46,
51,.03352414
52,-.34185336
57,
58,-.82747023
60,-1.6468932
62,.65846884
64,.03352414
65,-.34185336
66,
67,
68,
70,.45793564
71,
73,
74,
75,-.85181419
76,.39807522
79,-1.1158243
80,-.58170149
82,.60639012
83,-1.0438545
85,.58428312
87,1.4290514
88,-1.239251
89,.85122553
90,
92,-1.8895781
93,-1.3575005
95,-.43518439
96,
97,.79779072
98,.40802672
99,
105,.7626263
106,-.43518439
108,.54012158
113,.88955309
116,
117,
118,
119,-.4841997
120,
121,.79779072
122,.19871373
123,
124,
126,.54012158
131,1.8042008
132,1.3814696
133,1.7521221
134,
135,1.7521221
138,.61334854
140,.50223267
143,1.288164
144,.65846884
145,-.01855458
146,-.58170149
150,-.98673763
152,-1.1158243
154,1.8135325
155,1.8700653
156,1.6213015
158,1.288164
161,-1.239251
163,
165,.40802672
167,
168,.03352414
172,1.960437
174,
176,1.7521221
180,1.9306429
184,.7626263
185,-.82747023
187,1.4396497
190,1.1107724
191,1.1107724
195,.61334854
196,
199,.65846884
200,
202,.16917112
206,
209,
210,
212,.73625596
215,
218,
219,.79779072
220,1.4396497
222,.61334854
223,.9709412
225,-.42114595
228,-.12271203
230,.16917112
231,
232,-.4841997
233,
237,.13768159
239,
242,.61334854
244,-2.0275093
246,1.7105662
247,1.7105662
249,.58428312
250,-.82747023
251,.45793564
254,.65846884
256,
257,
258,.65846884
259,.45793564
260,-.43518439
261,-.79455469
262,-1.0438545
263,-.34185336
264,.29391777
265,-.98673763
268,-.33102694
275,
277,
278,.73625596
279,
280,
281,.85122553
282,-.85181419
283,.85122553
285,-.13804894
287,-.33102694
294,.16917112
297,-.90389291
299,-.33102694
304,.61334854
308,-.27894821
311,.71054757
314,1.960437
316,1.1107724
318,-.69557801
321,.29391777
323,1.288164
324,
325,-.69557801
328,.9709412
329,-.01855458
330,-.82747023
332,1.4290514
336,.88955309
337,1.7105662
340,-.33102694
341,1.288164
342,
343,
344,
345,
346,-.18675712
347,
348,
349,
350,
357,
358,
360,
361,
