rownum,NLS_ID,black,hispanic,HS_grades,Parent_college,birthYr,famInc
1,2,0,1,-1.13052737827958,1,1982,6.027371
2,5,0,1,-0.693976672129724,0,1982,7.910925
3,9,0,0,0.0280105877423937,0,1982,6.686615
4,16,0,1,-1.55028738854821,0,1982,1.3
5,22,0,1,-0.576443911464574,0,1982,4.829094
6,51,1,0,-0.576443911464574,0,1980,0.375
7,52,1,0,-0.576443911464574,0,1983,0.375
8,58,1,0,0.263076578073444,0,1983,2.55
9,60,0,0,0.212705311181103,0,1984,5.66
10,62,1,0,-1.36559372036119,0,1980,15
11,64,1,0,0.263076578073444,0,1980,4
12,71,1,0,-0.509282417691765,0,1980,2.6015
13,76,0,0,-1.41596440100259,0,1982,2.733449
14,85,0,0,-0.576443911464574,0,1984,1.2
15,87,0,1,-0.576443911464574,0,1984,4.25
16,89,0,0,1.94211732264911,0,1981,7.989387
17,93,0,1,-1.41596440100259,0,1983,2.9
18,97,0,1,-1.41596440100259,0,1980,4.11
19,105,0,0,0.195914967050448,1,1983,7.5673
20,106,0,0,-1.13052737827958,1,1981,9.23
21,108,0,0,0.498142451154307,1,1984,13.5
22,113,0,0,1.10259659861071,0,1984,6.66
23,116,1,0,-0.593234372845417,0,1984,3.175
24,117,1,0,-1.01299461761443,0,1984,3.175
25,118,0,0,-0.693976672129724,1,1980,9.85
26,119,0,0,0.263076578073444,0,1982,24.6474
27,121,0,0,-0.610024716976072,0,1981,7.79
28,122,0,0,-0.912252201079932,0,1984,7.79
29,131,0,0,0.884321538661255,1,1980,4.02
30,132,0,0,1.00185465107697,1,1983,4.2047
31,133,0,0,0.615675211819457,1,1982,5.116
32,135,0,0,0.917902695923316,1,1981,7.2
33,143,1,0,-0.643605522487571,0,1981,12.3
34,144,1,0,-0.777928627283376,1,1982,6.95
35,145,1,0,-0.878671512818621,1,1984,6.95
36,146,1,0,-0.576443911464574,0,1984,4.7
37,154,0,0,-0.190264472207063,1,1980,14.27
38,156,0,0,1.27050121241914,1,1982,23.1996
39,158,0,1,1.70705180131881,1,1984,4.7
40,165,0,0,1.01864511245781,0,1980,6.121549
41,174,0,0,0.128753356027451,1,1983,10.45
42,184,0,0,-0.324587694253056,1,1984,6
43,185,1,0,1.94211732264911,0,1981,9.25
44,187,0,1,0.0448010491232367,0,1983,7.55
45,195,1,0,-1.41596440100259,0,1983,4.01
46,199,0,0,0.2798669222041,1,1982,11.59
47,200,0,0,1.13617822487352,0,1980,5.101657
48,206,0,0,0.229495772561946,0,1982,1.75
49,215,0,1,0.263076578073444,0,1981,1.789376
50,220,0,0,-0.693976672129724,0,1984,4.84
51,222,0,1,-0.039150906030415,0,1981,3.5
52,223,0,1,0.414190144250092,0,1981,3.5
53,228,0,0,-0.475701612180267,0,1984,6.378048
54,232,0,1,-0.576443911464574,0,1984,0.006
55,239,0,0,-0.391749657026615,1,1980,24.6474
56,242,0,1,0.313447727715598,1,1984,7.8
57,244,0,1,-1.06336576725658,0,1983,2.6
58,246,0,1,0.632465555950112,0,1980,1.8223
59,247,0,0,0.800369583507603,0,1982,2.485
60,250,0,0,-0.576443911464574,0,1981,9.425
61,251,0,1,0.246286116692601,0,1982,3.75
62,265,0,1,-0.341378038383711,0,1983,1.9
63,268,0,1,-0.391749657026615,0,1981,7.11
64,278,0,0,-1.41596440100259,1,1980,6.204
65,279,0,0,0.0448010491232367,1,1981,24.6474
66,280,0,0,0.16233416153895,1,1983,24.6474
67,281,1,0,-0.542863105953076,0,1984,0.375
68,282,0,0,-0.408540001157271,0,1980,2.695215
69,287,0,0,-1.06336576725658,0,1980,8.005103
70,294,0,1,0.548513718046648,0,1982,0.1
71,297,0,1,-0.257426083230059,0,1984,4.5
72,314,0,0,0.867531077280412,1,1984,24.6474
73,323,0,0,-1.93646729680647,0,1980,10.2
74,324,0,0,1.10259659861071,1,1980,0.1466355
75,328,0,0,-0.0559413674112579,0,1984,4.5
76,337,0,0,0.749998316615262,1,1983,15.05
77,340,0,0,0.363818877357751,0,1981,1.793
78,346,0,1,0.0448010491232367,0,1984,0.1
79,367,0,1,0.0280105877423937,0,1981,5.650661
80,376,1,0,-0.0559413674112579,0,1981,4
81,378,1,0,-0.610024716976072,1,1984,7
82,380,0,0,1.10259659861071,0,1983,0.1
83,384,0,1,-0.0727317115419132,0,1983,3.7
84,385,0,1,-0.190264472207063,0,1981,4.3
85,391,0,0,0.749998316615262,0,1980,0.09625767
86,393,0,1,-0.693976672129724,0,1983,5.376635
87,395,0,0,-0.358168382514366,0,1984,7
88,401,0,0,-0.660395983868413,0,1984,8.55
89,404,0,0,0.867531077280412,0,1980,6.72
90,405,0,0,1.52235696062991,0,1981,6.72
91,413,1,0,-0.526072761822421,0,1980,3.465276
92,418,0,0,1.10259659861071,0,1983,13.26
93,420,0,0,0.800369583507603,1,1980,18.17085
94,427,0,1,-1.41596440100259,0,1981,3.6
95,430,0,0,0.783579239376948,1,1983,5.3
96,432,0,1,-1.41596440100259,1,1981,2.9
97,434,0,0,-0.626815178356915,1,1982,24.6474
98,454,0,1,0.363818877357751,0,1982,0.84
99,458,0,1,1.57272881377319,0,1982,3.767107
100,475,0,1,0.582094406307959,0,1981,0.5011324
101,483,0,1,1.08580637173024,0,1980,4.72
102,487,0,0,1.10259659861071,0,1984,7.5
103,503,0,0,0.430980488380748,1,1981,7.5
104,505,0,1,-0.190264472207063,0,1984,8.23
105,506,0,0,-0.223845277718561,0,1982,4.8
106,527,0,0,0.951483501434815,1,1981,24.6474
107,543,0,1,-0.794719440414782,0,1983,4.3
108,546,0,0,0.195914967050448,1,1980,4.812884
109,551,0,0,1.15296845175399,1,1981,20.33645
110,558,0,0,0.263076578073444,0,1982,10.05
111,561,0,0,-1.41596440100259,0,1984,4.2152
112,564,0,0,-0.13989332256491,0,1983,4.62
113,567,0,0,-0.643605522487571,0,1980,7.1765
114,568,0,0,-0.576443911464574,0,1981,7.1765
115,571,0,0,-0.274216427360715,0,1980,7.672
116,572,0,0,-0.324587694253056,0,1983,7.672
117,576,0,0,0.901112351792661,1,1981,8.62
118,577,0,0,-0.039150906030415,1,1984,8.62
119,578,0,0,-1.41596440100259,0,1982,7.54
120,580,0,0,-0.106312517053411,0,1983,4.0305
121,581,0,0,0.313447727715598,0,1982,2.088
122,586,0,1,-0.610024716976072,0,1980,4.68
123,590,0,0,-1.04657542312592,0,1983,4.8
124,598,0,1,0.212705311181103,0,1981,4.55
125,603,0,1,-1.01299461761443,0,1984,1.443865
126,606,0,0,-1.6846115485957,1,1980,1.1157
127,608,0,0,0.195914967050448,0,1983,2.74
128,611,0,0,-0.811509901795625,0,1984,7.45
129,613,0,0,-0.777928627283376,0,1983,3.1
130,616,0,1,1.84137478886442,0,1984,0.53
131,618,0,1,-0.123102861184067,0,1981,7.41
132,619,0,1,-0.0559413674112579,0,1983,5.3
133,628,0,0,1.27050121241914,1,1982,14.5784
134,636,0,0,-0.878671512818621,0,1982,6.23
135,640,0,0,-0.878671512818621,1,1982,6.95
136,642,0,0,0.833950389019102,0,1980,7.55
137,643,0,0,0.111963011896796,0,1982,7.55
138,647,0,0,0.968273962815658,1,1984,5.6
139,648,0,0,-1.02978496174508,0,1981,7.74
140,649,0,0,0.481352107023652,0,1982,7.74
141,653,0,0,-0.794719440414782,1,1983,5.5
142,659,0,1,-0.442120806668769,0,1980,6.85
143,661,0,1,-0.039150906030415,0,1982,1.45784
144,664,1,0,-0.391749657026615,0,1983,1
145,669,1,0,1.10259659861071,0,1983,10.1
146,673,1,0,-0.878671512818621,1,1982,6.065
147,694,0,1,-0.677186327999069,0,1980,3.4299
148,702,1,0,-0.693976672129724,0,1982,1.26
149,706,0,0,-0.576443911464574,1,1982,5.1513
150,711,1,0,-2.25548512504099,1,1984,4.756
151,712,1,0,-1.48312648102634,0,1982,8.13
152,716,0,1,-1.31522186721791,0,1982,0.825
153,717,1,0,-0.526072761822421,0,1980,7.5
154,719,1,0,0.313447727715598,1,1981,6.930553
